Name	Total	Bin.1	Bin.2	Bin.3	Bin.4	Bin.5	Bin.6	Bin.7	Bin.8	Bin.9	Bin.10	Bin.11	Bin.12
apFAB321--apFAB901	17769	3976	2911	79	376	3636	4592	1855	343	1	0	0	0
apFAB62--BBa_J61108	17766	2919	2137	1	1	1	2	74	295	7396	4266	674	0
BBa_J23106--Bujard_RBS	17762	2659	1847	0	0	0	1	7	30	375	2809	8515	1519
apFAB311--BBa_J61128	17758	5691	6256	2449	1442	1463	178	158	26	74	21	0	0
apFAB312--apFAB864	17666	8038	6447	1410	1130	332	126	126	34	0	22	0	1
BBa_J23105--apFAB901	17630	4078	3095	970	1253	5411	2313	412	98	0	0	0	0
apFAB323--apFAB903	17628	3396	2402	40	113	3	3	43	769	7728	2848	283	0
BBa_J23113--apFAB872	17616	4480	3776	2495	1683	3864	868	216	29	1	13	190	1
apFAB342--apFAB894	17606	4179	3093	205	205	3248	3742	2576	355	1	0	1	1
apFAB115--apFAB837	17586	2779	1868	1	0	2	3	3	71	226	1033	8837	2763
apFAB306--apFAB868	17580	4750	5568	2328	2297	2132	302	79	36	0	88	0	0
apFAB277--apFAB894	17561	4179	3107	1270	1574	5539	1426	356	87	21	0	2	0
BBa_J23118--apFAB837	17543	3220	2230	1	18	1	1	17	45	194	3060	7994	762
apFAB338--apFAB910	17537	3586	3401	1551	2144	5430	941	280	138	65	0	0	1
apFAB346--apFAB872	17498	4336	2879	67	58	2207	4110	3335	415	75	7	8	1
BBa_J23116--apFAB904	17496	4615	3244	771	902	4933	2065	678	73	70	0	145	0
apFAB55--apFAB876	17463	3204	2230	1	0	62	4	67	4347	6117	1037	393	1
apFAB312--BBa_J61108	17458	4315	2880	109	370	3979	3558	1523	612	111	1	0	0
apFAB311--apFAB872	17445	7161	6235	1837	1030	469	74	183	93	3	182	1	177
apFAB104--apFAB890	17431	5673	5642	2574	2453	668	170	75	175	1	0	0	0
apFAB322--apFAB895	17416	4126	2847	778	1160	5081	2737	570	65	51	1	0	0
BBa_J23116--apFAB889	17415	4605	4826	2945	2228	2467	213	102	1	1	25	2	0
BBa_J23103--apFAB851	17405	7669	6679	1313	814	482	90	137	0	1	220	0	0
apFAB338--apFAB844	17395	3906	2945	645	1735	6181	1218	470	126	59	29	81	0
apFAB306--apFAB869	17394	5532	6301	2788	1591	960	58	54	6	0	103	0	1
apFAB55--apFAB872	17382	4365	3084	0	42	1464	3763	3672	928	31	32	0	1
apFAB58--apFAB821	17382	4037	2839	394	1092	5557	2455	687	212	38	71	0	0
apFAB338--BBa_J61120	17381	4105	3719	1780	1715	4139	1516	317	69	1	19	1	0
BBa_J23109--apFAB854	17372	4670	5281	3426	1686	1825	217	174	84	1	7	1	0
apFAB277--apFAB831	17370	4308	2941	66	134	2597	4501	2332	447	41	0	3	0
apFAB115--BBa_J61134	17368	4070	3796	1539	1822	4792	862	273	1	213	0	0	0
apFAB312--BBa_J61137	17364	4180	2855	175	1097	5883	2264	859	51	0	0	0	0
apFAB322--apFAB827	17362	3241	2184	0	1	2	68	83	708	6732	4338	2	3
apFAB300--BBa_J61134	17360	6716	6398	1969	1197	688	78	196	44	1	70	3	0
apFAB346--apFAB845	17352	3783	2391	2	30	3	15	340	4019	4878	1487	403	1
apFAB114--apFAB833	17324	7357	6838	1499	802	394	83	95	1	132	120	3	0
apFAB300--apFAB851	17297	4557	4367	2647	2408	2613	414	185	1	61	42	1	1
apFAB345--apFAB868	17290	3844	2556	247	484	6282	2669	1031	137	2	0	38	0
apFAB306--apFAB904	17270	3182	2194	0	2	24	1	6	63	1271	4162	5899	466
apFAB345--apFAB954	17270	2737	1783	2	21	2	0	26	250	4088	5374	2653	334
apFAB104--apFAB894	17243	3906	2562	180	161	4824	3327	1612	425	82	1	163	0
apFAB312--apFAB872	17238	5798	6688	1977	1007	1179	8	42	138	1	252	148	0
apFAB302--apFAB857	17237	3041	1998	34	10	13	2	40	1084	6244	4174	597	0
apFAB125--apFAB872	17218	4763	3128	8	3	385	2698	4732	1228	212	58	0	3
apFAB114--BBa_J61132	17216	7987	6667	845	627	726	105	61	29	0	168	1	0
apFAB64--BBa_J61113	17180	4044	2726	0	45	4	28	676	4735	3709	1035	1	177
apFAB342--apFAB892	17180	3594	2979	1564	1751	5215	1380	524	100	10	62	1	0
apFAB345--apFAB901	17138	2762	1918	2	35	1	1	5	91	4292	6235	1796	0
apFAB300--apFAB904	17121	4071	2980	563	722	5114	2767	812	24	0	52	16	0
apFAB125--apFAB954	17114	3593	2371	0	26	28	37	92	3152	5292	1998	522	3
apFAB312--BBa_J61111	17108	4298	2907	126	288	3425	4113	1764	183	1	1	2	0
apFAB300--apFAB909	17098	4997	5914	2722	2184	932	154	25	15	1	152	1	1
apFAB302--BBa_J61108	17065	4116	2776	357	647	6038	2063	697	165	50	32	124	0
BBa_J23113--apFAB833	17053	2959	1962	31	1	3	2	19	335	4924	4261	2556	0
apFAB302--apFAB923	17050	2914	1973	4	0	8	4	29	139	3419	5417	2617	526
apFAB347--apFAB876	17039	3067	2114	1	1	4	5	25	109	3948	5243	2522	0
apFAB322--apFAB868	17034	4181	3482	2159	1967	4069	757	221	29	36	133	0	0
BBa_J23113--apFAB865	17023	4196	2754	40	2	129	1166	4599	3624	496	12	4	1
BBa_J23103--apFAB889	17022	6704	6811	1720	673	603	231	87	13	1	175	3	1
apFAB346--apFAB954	17013	4031	2697	1	1	172	2594	5281	1908	164	51	78	35
apFAB64--BBa_J61125	17001	4301	2983	69	783	5094	2760	1009	2	0	0	0	0
apFAB322--apFAB872	16993	4499	2994	47	144	2666	3803	2325	244	183	88	0	0
BBa_J23100--Anderson_RBS	16992	3107	2142	1	0	4	1	1	5	631	2931	6497	1672
apFAB311--apFAB903	16988	7275	6156	1424	997	787	127	146	40	18	15	2	1
