Name	Total	Bin 1	Bin 2	Bin 3	Bin 4	Bin 5	Bin 6	Bin 7	Bin 8	Bin 9	Bin 10	Bin 11	Bin 12
apFAB346--apFAB843	10393	884	3325	2865	1585	1364	107	103	54	1	103	2	0
apFAB346--apFAB872	10393	39	71	67	58	2207	4110	3335	415	75	7	8	1
apFAB339--BBa_J61127	10387	15	1	1	2	9	7	130	2047	5865	2195	115	0
apFAB277--BBa_J61112	10378	24	157	700	992	5243	2073	957	145	84	1	1	1
BBa_J23113--apFAB954	10377	16	52	73	47	102	1956	5599	2282	136	25	88	1
apFAB277--BBa_J61104	10365	40	238	902	885	5409	1783	642	55	1	1	0	409
apFAB322--apFAB868	10362	179	812	2159	1967	4069	757	221	29	36	133	0	0
apFAB312--BBa_J61100	10354	12	26	2	3	2	13	43	2085	5296	2561	311	0
BBa_J23102--apFAB865	10344	22	38	2	1	1	0	0	103	3169	5092	1762	154
BBa_J23100--BBa_J61127	10341	16	97	0	2	0	2	0	1	1533	4202	3948	540
BBa_J23106--apFAB901	10321	81	29	157	229	4312	4059	1074	296	7	75	2	0
apFAB306--Alon_RBS	10318	16	2	1	0	6	3	10	411	6181	2923	585	180
BBa_J23115--Alon_RBS	10318	34	77	234	358	5110	3028	1259	204	6	8	0	0
apFAB300--apFAB904	10315	11	234	563	722	5114	2767	812	24	0	52	16	0
apFAB150--Anderson_RBS	10310	11	19	47	1	13	3	48	1056	6354	2636	122	0
apFAB346--apFAB954	10299	7	7	1	1	172	2594	5281	1908	164	51	78	35
apFAB312--BBa_J61108	10296	8	25	109	370	3979	3558	1523	612	111	1	0	0
BBa_J23109--apFAB889	10291	3	3	4	0	4	7	8	305	5353	3777	827	0
apFAB345--apFAB927	10287	14	2	25	0	3	8	29	2170	5538	2170	326	2
BBa_J23102--apFAB872	10278	11	3	1	5	32	210	2011	5150	2465	390	0	0
apFAB302--apFAB867	10270	13	65	134	407	3994	3668	1715	120	27	0	127	0
apFAB104--Plotkin_RBS	10255	0	2	2	2	0	1	1	164	3609	4104	2132	238
apFAB302--BBa_J61108	10249	25	51	357	647	6038	2063	697	165	50	32	124	0
BBa_J23109--salis-4-10	10245	0	2	1	27	6	2	43	1610	5791	2170	575	18
BBa_J23116--apFAB889	10245	417	1844	2945	2228	2467	213	102	1	1	25	2	0
apFAB277--BBa_J61100	10243	29	7	48	0	7	15	240	2720	4626	2081	470	0
BBa_J23105--apFAB820	10242	142	847	1672	1937	4340	953	314	36	0	1	0	0
BBa_J23107--apFAB837	10242	2	79	0	41	2	1	2	136	1988	4405	3361	225
apFAB311--BBa_J61137	10235	40	7	519	530	5218	2836	947	137	0	0	1	0
apFAB306--BBa_J61113	10222	19	91	85	1	17	146	449	4157	4284	609	348	16
apFAB345--apFAB910	10220	8	0	1	2	0	25	61	0	515	1964	6618	1026
apFAB150--apFAB954	10214	8	1	1	0	2	48	12	591	5266	3744	541	0
apFAB97--B0034_RBS	10214	12	2	0	0	0	3	0	10	1196	5145	3845	1
apFAB63--apFAB857	10212	9	2	2	1	2	1	0	8	22	1543	7018	1604
apFAB277--apFAB876	10208	42	39	152	129	2845	4295	2216	434	1	53	0	2
BBa_J23102--apFAB922	10204	112	378	1493	1486	5515	910	132	175	1	0	1	1
BBa_J23109--apFAB854	10193	418	2354	3426	1686	1825	217	174	84	1	7	1	0
apFAB300--apFAB851	10184	253	1558	2647	2408	2613	414	185	1	61	42	1	1
apFAB125--apFAB865	10182	0	0	1	0	86	0	1	437	5411	3691	438	117
apFAB76--apFAB894	10178	0	0	0	1	2	0	10	348	6303	3058	456	0
J23101--Anderson_RBS	10176	1	2	0	0	3	8	118	2666	5431	1944	3	0
apFAB115--BBa_J61108	10176	8	1	3	12	33	23	574	3935	3913	1233	439	2
BBa_J23113--apFAB872	10169	95	714	2495	1683	3864	868	216	29	1	13	190	1
apFAB277--apFAB831	10166	31	14	66	134	2597	4501	2332	447	41	0	3	0
apFAB65--apFAB872	10164	1	1	2	0	2	1	34	980	5648	3044	268	183
apFAB66--apFAB872	10149	1	42	1	0	3	2	13	577	5928	2864	718	0
apFAB342--apFAB865	10140	2	6	29	47	382	2926	4929	1474	278	66	0	1
apFAB55--apFAB903	10128	33	266	510	811	5268	2410	676	129	1	23	1	0
BBa_J23113--apFAB865	10126	46	7	40	2	129	1166	4599	3624	496	12	4	1
apFAB338--apFAB884	10124	1	3	72	0	0	42	7	320	5320	3800	557	2
apFAB311--BBa_J61132	10102	33	67	285	580	4442	2934	1612	115	25	1	8	0
apFAB125--apFAB904	10100	4	4	3	1	1	1	1	11	111	2709	6209	1045
apFAB55--apFAB872	10095	37	125	0	42	1464	3763	3672	928	31	32	0	1
apFAB64--BBa_J61127	10094	9	20	0	10	3	2	35	378	5020	3469	1103	45
